date,cactus,succulent,peperomia,peace lily,isPartial
2016-01-31,38,8,0,2,False
2016-02-07,39,8,0,3,False
2016-02-14,40,7,0,3,False
2016-02-21,43,8,0,1,False
2016-02-28,47,10,0,3,False
2016-03-06,46,8,0,2,False
2016-03-13,48,9,0,2,False
2016-03-20,49,9,0,2,False
2016-03-27,46,10,0,2,False
2016-04-03,45,11,0,3,False
2016-04-10,47,11,0,3,False
2016-04-17,43,12,0,3,False
2016-04-24,43,13,0,2,False
2016-05-01,46,13,0,2,False
2016-05-08,44,13,0,3,False
2016-05-15,42,12,0,4,False
2016-05-22,44,12,0,3,False
2016-05-29,42,11,1,2,False
2016-06-05,42,11,0,3,False
2016-06-12,42,11,0,3,False
2016-06-19,36,9,0,4,False
2016-06-26,38,10,0,3,False
2016-07-03,39,11,0,2,False
2016-07-10,36,10,0,3,False
2016-07-17,36,10,0,3,False
2016-07-24,39,10,0,2,False
2016-07-31,40,9,0,2,False
2016-08-07,38,8,0,2,False
2016-08-14,38,8,0,2,False
2016-08-21,40,10,0,2,False
2016-08-28,38,9,0,2,False
2016-09-04,40,9,0,2,False
2016-09-11,39,9,0,2,False
2016-09-18,37,8,0,3,False
2016-09-25,38,8,0,2,False
2016-10-02,37,8,0,2,False
2016-10-09,36,10,0,2,False
2016-10-16,43,8,0,1,False
2016-10-23,36,8,0,2,False
2016-10-30,37,7,0,1,False
2016-11-06,34,7,0,2,False
2016-11-13,40,8,0,2,False
2016-11-20,38,7,0,2,False
2016-11-27,39,7,0,2,False
2016-12-04,41,7,0,1,False
2016-12-11,42,7,0,2,False
2016-12-18,42,7,0,1,False
2016-12-25,55,7,0,2,False
2017-01-01,43,7,0,2,False
2017-01-08,43,9,0,2,False
2017-01-15,41,7,0,2,False
2017-01-22,38,8,0,2,False
2017-01-29,41,10,0,2,False
2017-02-05,41,10,0,2,False
2017-02-12,45,10,0,3,False
2017-02-19,46,9,0,3,False
2017-02-26,43,10,0,3,False
2017-03-05,49,11,0,3,False
2017-03-12,50,12,0,3,False
2017-03-19,52,12,0,3,False
2017-03-26,46,12,0,4,False
2017-04-02,47,13,0,3,False
2017-04-09,50,14,0,3,False
2017-04-16,52,14,0,3,False
2017-04-23,55,16,0,3,False
2017-04-30,48,14,1,4,False
2017-05-07,53,17,0,4,False
2017-05-14,53,16,0,3,False
2017-05-21,49,14,0,3,False
2017-05-28,55,17,0,4,False
2017-06-04,47,15,0,3,False
2017-06-11,48,15,0,3,False
2017-06-18,50,15,0,3,False
2017-06-25,50,15,0,3,False
2017-07-02,48,15,0,4,False
2017-07-09,49,14,0,2,False
2017-07-16,49,15,1,3,False
2017-07-23,44,13,0,3,False
2017-07-30,46,12,0,3,False
2017-08-06,45,14,0,2,False
2017-08-13,46,13,0,3,False
2017-08-20,43,12,0,2,False
2017-08-27,45,10,0,2,False
2017-09-03,46,11,0,3,False
2017-09-10,41,12,0,2,False
2017-09-17,47,11,1,2,False
2017-09-24,43,12,0,2,False
2017-10-01,40,9,0,2,False
2017-10-08,44,10,0,3,False
